iter	Logloss
0	0.6282874023
1	0.5788591797
2	0.5406125
3	0.5138485352
4	0.4940604492
5	0.4794475586
6	0.4683387207
7	0.4603498047
8	0.4541118164
9	0.4497091797
10	0.446479834
11	0.4430792969
12	0.4403958008
13	0.4384397949
14	0.4375561523
15	0.4361061035
16	0.4345791992
17	0.434026416
18	0.4329193848
19	0.4324263672
20	0.4321327148
21	0.4318040039
22	0.4308734863
23	0.4302509766
24	0.4299335449
25	0.4295756836
26	0.4292524902
27	0.4286375
28	0.4282628906
29	0.4278630371
30	0.4277297363
31	0.42735
32	0.4270209961
33	0.4267954102
34	0.4264989746
35	0.4260944336
36	0.425895459
37	0.425573291
38	0.4255264648
39	0.4251988281
40	0.4247555664
41	0.4243569336
42	0.42401875
43	0.4237922852
44	0.4235890625
45	0.4234484863
46	0.4233496094
47	0.4231031738
48	0.4229144531
49	0.4228695801
50	0.4226799805
51	0.4223735352
52	0.4221748535
53	0.4219046875
54	0.421851123
55	0.4216460449
56	0.4213924805
57	0.421134082
58	0.4210786621
59	0.420846875
60	0.4207612305
61	0.4206608398
62	0.4205639648
63	0.4205282715
64	0.4203323242
65	0.4200615234
66	0.4199995117
67	0.4198102539
68	0.4196751953
69	0.4195739258
70	0.4193765625
71	0.4191493164
72	0.419132959
73	0.4189918945
74	0.418852832
75	0.4187010742
76	0.4184263672
77	0.4183839844
78	0.4182765137
79	0.4179719727
80	0.4178485352
81	0.4178313965
82	0.4177776855
83	0.4175955078
84	0.4174537109
85	0.4172449219
86	0.4171095703
87	0.4170928711
88	0.4170800293
89	0.4170012695
90	0.416928125
91	0.4168912109
92	0.4166578125
93	0.4166161133
94	0.4165753418
95	0.4165368652
96	0.4162911133
97	0.4162688477
98	0.4161882324
99	0.4161585449
100	0.416088623
101	0.4160660156
102	0.416055127
103	0.415940918
104	0.4158794434
105	0.4158545898
106	0.4157737305
107	0.4157539551
108	0.4156580078
109	0.4155831055
110	0.4155255859
111	0.4153123535
112	0.4151309082
113	0.4150850586
114	0.415067334
115	0.4149378906
116	0.4149250488
117	0.4148355469
118	0.4146887695
119	0.4146703613
120	0.4145262695
121	0.4145014648
122	0.4144266602
123	0.414410791
124	0.4143735352
125	0.4143591797
126	0.4141960449
127	0.4141841797
128	0.4141715332
129	0.4141015625
130	0.4139989258
131	0.4138580078
132	0.4138435547
133	0.4136955078
134	0.4136772461
135	0.413606543
136	0.4135330078
137	0.413519043
138	0.4133695801
139	0.4132074707
140	0.4131803711
141	0.4131642578
142	0.4131360352
143	0.4130890137
144	0.4130672852
145	0.4130473633
146	0.4130248047
147	0.4128679199
148	0.4128193359
149	0.4128022461
150	0.4127871094
151	0.4127701172
152	0.4126370117
153	0.41261875
154	0.412589502
155	0.4125700195
156	0.4125519043
157	0.4122897461
158	0.4121561523
159	0.4121092285
160	0.4119303223
161	0.411917334
162	0.4118963867
163	0.4118716797
164	0.4117919922
165	0.4115303711
166	0.4113961426
167	0.4112671875
168	0.4112445312
169	0.4110180664
170	0.4110010742
171	0.4109789062
172	0.4108263672
173	0.4107311035
174	0.4107164551
175	0.4106947266
176	0.4106737793
177	0.4106529297
178	0.410636377
179	0.4105660156
180	0.4105443359
181	0.4103677246
182	0.4103044922
183	0.410284668
184	0.4102600586
185	0.4102330566
186	0.4102128906
187	0.4101926758
188	0.4101679688
189	0.4101462402
190	0.4101195313
191	0.4101001465
192	0.4100809082
193	0.410046875
194	0.4100303711
195	0.4098046387
196	0.4097828125
197	0.4097583008
198	0.4097374512
199	0.4097169922
200	0.4096955566
201	0.4096707031
202	0.4096464355
203	0.409619043
204	0.4095919434
205	0.409565332
206	0.4095379883
207	0.4095112061
208	0.4094867676
209	0.4094593262
210	0.409432251
211	0.4094074219
212	0.409381958
213	0.4093564453
214	0.409330127
215	0.4093046143
216	0.4092775391
217	0.4092498535
218	0.4092214355
219	0.4091943848
220	0.4091682861
221	0.4091433105
222	0.4091169678
223	0.4090883301
224	0.4090592529
225	0.4090325684
226	0.4090044189
227	0.4089761719
228	0.4089479004
229	0.4089188965
230	0.4088910889
231	0.408862915
232	0.4088354736
233	0.4088079346
234	0.4087802979
235	0.4087512207
236	0.4087218994
237	0.4086939453
238	0.4086661133
239	0.4086384033
240	0.4086101807
241	0.4085825928
242	0.4085540527
243	0.4085269775
244	0.4084992432
245	0.4084719482
246	0.408444043
247	0.4084168945
248	0.408389624
249	0.4083615479
250	0.4083337402
251	0.4083058838
252	0.408278125
253	0.4082504395
254	0.4082228027
255	0.4081958008
256	0.40816875
257	0.4081412354
258	0.4081137939
259	0.4080862061
260	0.40805896
261	0.4080315674
262	0.4080045166
263	0.4079777344
264	0.4079506348
265	0.4079236328
266	0.407896875
267	0.4078695801
268	0.4078424805
269	0.4078154785
270	0.4077886719
271	0.4077616943
272	0.4077348877
273	0.4077084717
274	0.4076816162
275	0.4076548584
276	0.4076281982
277	0.4076017578
278	0.4075756104
279	0.4075489746
280	0.4075225586
281	0.4074960693
282	0.4074697754
283	0.407443457
284	0.407417334
285	0.4073907715
286	0.4073645752
287	0.4073384766
288	0.4073121094
289	0.4072858887
290	0.4072598877
291	0.4072333496
292	0.4072074219
293	0.4071812988
294	0.407155127
295	0.407129126
296	0.4071029541
297	0.4070769531
298	0.4070510742
299	0.4070250488
